position,Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id,spotify_track_id,spotify_uri,spotify_album,spotify_year,curated_year,status,notes
1,Saca el guisky cheli,Desmadre 75,¡Aqui esta el Güiski Cheli!,HITSTER - DIY,Playlist,ES5079700332,1or7R43FPk2oyNed5oTeOJ,1or7R43FPk2oyNed5oTeOJ,spotify:track:1or7R43FPk2oyNed5oTeOJ,¡Aqui esta el Güiski Cheli!,,1975,pending,
2,Sweet Child O' Mine,Guns N' Roses,Appetite For Destruction,HITSTER - DIY,Playlist,USGF18714809,7o2CTH4ctstm8TNelqjb51,7o2CTH4ctstm8TNelqjb51,spotify:track:7o2CTH4ctstm8TNelqjb51,Appetite For Destruction,,1987,pending,
3,Under Pressure - Remastered 2011,Queen,Hot Space (2011 Remaster),HITSTER - DIY,Playlist,GBUM71029622,2fuCquhmrzHpu5xcA1ci9x,2fuCquhmrzHpu5xcA1ci9x,spotify:track:2fuCquhmrzHpu5xcA1ci9x,Hot Space (2011 Remaster),,1981,review,Posible remaster/compilación/edición especial; revisar año original para curated_year.
4,Quisiera ser,Duo Dinamico,20 Exitos De Oro,HITSTER - DIY,Playlist,ES5086100460,7inx0uAxXtUiyVuvoZRsc7,7inx0uAxXtUiyVuvoZRsc7,spotify:track:7inx0uAxXtUiyVuvoZRsc7,20 Exitos De Oro,,1961,pending,
5,Cómo Te Atreves,Morat,Sobre El Amor Y Sus Efectos Secundarios,HITSTER - DIY,Playlist,ES5701501180,7M6CFruBrM5x7u0lTMtm6r,7M6CFruBrM5x7u0lTMtm6r,spotify:track:7M6CFruBrM5x7u0lTMtm6r,Sobre El Amor Y Sus Efectos Secundarios,,2015,pending,
6,I'm an Albatraoz,AronChupa,I'm an Albatraoz,HITSTER - DIY,Playlist,SEYOK1406001,5MhsZlmKJG6X5kTHkdwC4B,5MhsZlmKJG6X5kTHkdwC4B,spotify:track:5MhsZlmKJG6X5kTHkdwC4B,I'm an Albatraoz,,2014,pending,
7,Dilemma (feat. Kelly Rowland),Nelly,Simply Deep,HITSTER - DIY,Playlist,USSM10211190,14MgTooapmJdLlEMAr2zAM,14MgTooapmJdLlEMAr2zAM,spotify:track:14MgTooapmJdLlEMAr2zAM,Simply Deep,,2002,pending,
8,Nothing Compares 2 U,Sinéad O'Connor,I Do Not Want What I Haven't Got,HITSTER - DIY,Playlist,GBAYK9000017,3nvuPQTw2zuFAVuLsC9IYQ,3nvuPQTw2zuFAVuLsC9IYQ,spotify:track:3nvuPQTw2zuFAVuLsC9IYQ,I Do Not Want What I Haven't Got,,1990,pending,
9,Ice Ice Baby,Vanilla Ice,To The Extreme,HITSTER - DIY,Playlist,USSB29000129,11d9oUiwHuYt216EFA2tiz,11d9oUiwHuYt216EFA2tiz,spotify:track:11d9oUiwHuYt216EFA2tiz,To The Extreme,,1990,pending,
10,"Amor, Amor",Lolita,Mis Recuerdos,HITSTER - DIY,Playlist,QMDA61376637,6lGrDctccq26IsZ2MDTxZU,6lGrDctccq26IsZ2MDTxZU,spotify:track:6lGrDctccq26IsZ2MDTxZU,Mis Recuerdos,,1975,pending,
11,With A Little Help From My Friends,Joe Cocker,With A Little Help From My Friends,HITSTER - DIY,Playlist,USAM16800382,0YZ3J8xzGwLOg4yEgST1YK,0YZ3J8xzGwLOg4yEgST1YK,spotify:track:0YZ3J8xzGwLOg4yEgST1YK,With A Little Help From My Friends,,1968,pending,
12,Lambada - Version 1989,Kaoma,Lambada (Version 1989),HITSTER - DIY,Playlist,FR6V89602629,32gpJnMZkRafZdQvU7ZzR7,32gpJnMZkRafZdQvU7ZzR7,spotify:track:32gpJnMZkRafZdQvU7ZzR7,Lambada (Version 1989),,1989,review,Posible remaster/compilación/edición especial; revisar año original para curated_year.
13,Self Control,Laura Branigan,Self Control,HITSTER - DIY,Playlist,USAT20903047,6JNJERZGJwDVgkmbohBw7u,6JNJERZGJwDVgkmbohBw7u,spotify:track:6JNJERZGJwDVgkmbohBw7u,Self Control,,1984,pending,
14,Dancing In the Dark,Bruce Springsteen,Born In The U.S.A.,HITSTER - DIY,Playlist,USSM18400416,7FwBtcecmlpc1sLySPXeGE,7FwBtcecmlpc1sLySPXeGE,spotify:track:7FwBtcecmlpc1sLySPXeGE,Born In The U.S.A.,,1984,pending,
15,Bailar Pegados,Sergio Dalma,Sintiendonos La Piel,HITSTER - DIY,Playlist,ES5709904216,4QkQmdvFjEVvjc1ONi6t6N,4QkQmdvFjEVvjc1ONi6t6N,spotify:track:4QkQmdvFjEVvjc1ONi6t6N,Sintiendonos La Piel,,1991,pending,
16,Caminando por la vida,Melendi,Que El Cielo Espere Sentao..,HITSTER - DIY,Playlist,ES5080600400,3v1dCP3hk2djfWryqfp7sx,3v1dCP3hk2djfWryqfp7sx,spotify:track:3v1dCP3hk2djfWryqfp7sx,Que El Cielo Espere Sentao..,,2005,pending,
17,Africa,TOTO,Toto IV,HITSTER - DIY,Playlist,USSM19801941,2374M0fQpWi3dLnB54qaLX,2374M0fQpWi3dLnB54qaLX,spotify:track:2374M0fQpWi3dLnB54qaLX,Toto IV,,1982,pending,
18,She Drives Me Crazy,Fine Young Cannibals,The Raw & The Cooked,HITSTER - DIY,Playlist,USRH10901907,4d6eqRtpDX7tydHJGDZUBQ,4d6eqRtpDX7tydHJGDZUBQ,spotify:track:4d6eqRtpDX7tydHJGDZUBQ,The Raw & The Cooked,,1988,pending,
19,La Isla del Amor (feat. Maki),Demarco Flamenco,Uno,HITSTER - DIY,Playlist,ES5151602578,0Gw9QC3RqHmTdGqHIWLHb6,0Gw9QC3RqHmTdGqHIWLHb6,spotify:track:0Gw9QC3RqHmTdGqHIWLHb6,Uno,,2017,pending,
20,(What A) Wonderful World - Mono,Sam Cooke,The Wonderful World Of Sam Cooke,HITSTER - DIY,Playlist,USA171920056,2G0GextMwZJLkNxcSZ7ZJ3,2G0GextMwZJLkNxcSZ7ZJ3,spotify:track:2G0GextMwZJLkNxcSZ7ZJ3,The Wonderful World Of Sam Cooke,,1960,review,Posible remaster/compilación/edición especial; revisar año original para curated_year.
21,La Bicicleta,Carlos Vives,VIVES,HITSTER - DIY,Playlist,USSD11600112,0Gx4VrHzS7pZOEAGrmXXBH,0Gx4VrHzS7pZOEAGrmXXBH,spotify:track:0Gx4VrHzS7pZOEAGrmXXBH,VIVES,,2016,pending,
22,Scars To Your Beautiful,Alessia Cara,Know-It-All (Deluxe),HITSTER - DIY,Playlist,USUM71506811,42ydLwx4i5V49RXHOozJZq,42ydLwx4i5V49RXHOozJZq,spotify:track:42ydLwx4i5V49RXHOozJZq,Know-It-All (Deluxe),,2015,review,Posible remaster/compilación/edición especial; revisar año original para curated_year.
23,Dile - Remastered,Luis Aguile,Luis Aguilé. Todas Sus Canciones Del Verano Vol.3,HITSTER - DIY,Playlist,ES6340901321,7lnlxvKtaHz3JqGxZDl6Wy,7lnlxvKtaHz3JqGxZDl6Wy,spotify:track:7lnlxvKtaHz3JqGxZDl6Wy,Luis Aguilé. Todas Sus Canciones Del Verano Vol.3,,1963,review,Posible remaster/compilación/edición especial; revisar año original para curated_year.
24,Call Me Maybe,Carly Rae Jepsen,Kiss,HITSTER - DIY,Playlist,CAB391100615,20I6sIOMTCkB6w7ryavxtO,20I6sIOMTCkB6w7ryavxtO,spotify:track:20I6sIOMTCkB6w7ryavxtO,Kiss,,2011,pending,
25,Se fué,Laura Pausini,Laura Pausini - Spanish Version,HITSTER - DIY,Playlist,ITR009401391,5oQadhkuEdEhtdVn0QceyZ,5oQadhkuEdEhtdVn0QceyZ,spotify:track:5oQadhkuEdEhtdVn0QceyZ,Laura Pausini - Spanish Version,,1993,review,Posible remaster/compilación/edición especial; revisar año original para curated_year.
26,Wonderwall,Oasis,(What's The Story) Morning Glory?,HITSTER - DIY,Playlist,GBAAW9500189,1qPbGZqppFwLwcBC1JQ6Vr,1qPbGZqppFwLwcBC1JQ6Vr,spotify:track:1qPbGZqppFwLwcBC1JQ6Vr,(What's The Story) Morning Glory?,,1995,pending,
27,Cheap Thrills,Sia,This Is Acting,HITSTER - DIY,Playlist,USRC11502935,27SdWb2rFzO6GWiYDBTD9j,27SdWb2rFzO6GWiYDBTD9j,spotify:track:27SdWb2rFzO6GWiYDBTD9j,This Is Acting,,2015,pending,
28,Super Freak,Rick James,Street Songs,HITSTER - DIY,Playlist,USMO18100048,5vFFwU909VMZIBA7sZPtW0,5vFFwU909VMZIBA7sZPtW0,spotify:track:5vFFwU909VMZIBA7sZPtW0,Street Songs,,1981,pending,
29,Hey Ya!,Outkast,Speakerboxxx/The Love Below,HITSTER - DIY,Playlist,USAR10300924,2PpruBYCo4H7WOBJ7Q2EwM,2PpruBYCo4H7WOBJ7Q2EwM,spotify:track:2PpruBYCo4H7WOBJ7Q2EwM,Speakerboxxx/The Love Below,,2003,pending,
30,I Can Help,Billy Swan,The Best Of Billy Swan,HITSTER - DIY,Playlist,USSM17400216,4oW1lGOw5Q5OLvoJv92qoE,4oW1lGOw5Q5OLvoJv92qoE,spotify:track:4oW1lGOw5Q5OLvoJv92qoE,The Best Of Billy Swan,,1974,pending,
31,Colgando en tus manos (con Marta Sánchez),Carlos Baute,De mi puño y letra - Edicion Coleccionista,HITSTER - DIY,Playlist,ES5150801314,3UI9I3e1g1y5T3SMfdgfGO,3UI9I3e1g1y5T3SMfdgfGO,spotify:track:3UI9I3e1g1y5T3SMfdgfGO,De mi puño y letra - Edicion Coleccionista,,2008,pending,
32,Black is Black,Los Bravos,Los Bravos,HITSTER - DIY,Playlist,ES5020100301,4uaffKRsN1NEQWVmkwMDAZ,4uaffKRsN1NEQWVmkwMDAZ,spotify:track:4uaffKRsN1NEQWVmkwMDAZ,Los Bravos,,1966,pending,
33,We Are Family - 1995 Remaster,Sister Sledge,We Are Family (1995 Remaster),HITSTER - DIY,Playlist,USAT20102166,5IKLwqBQG6KU6MP2zP80Nu,5IKLwqBQG6KU6MP2zP80Nu,spotify:track:5IKLwqBQG6KU6MP2zP80Nu,We Are Family (1995 Remaster),,1979,review,Posible remaster/compilación/edición especial; revisar año original para curated_year.
34,Un Ramito de Violetas,Cecilia,Esencial Cecilia,HITSTER - DIY,Playlist,ES5117500009,3lpF8AbTteK4bXXZMhm31n,3lpF8AbTteK4bXXZMhm31n,spotify:track:3lpF8AbTteK4bXXZMhm31n,Esencial Cecilia,,1974,pending,
35,Soy rebelde,Jeanette,Porque te vas,HITSTER - DIY,Playlist,ES5099800385,1oaPnvUccVzyjsKFkuE7oA,1oaPnvUccVzyjsKFkuE7oA,spotify:track:1oaPnvUccVzyjsKFkuE7oA,Porque te vas,,1971,pending,
36,Gloria,Umberto Tozzi,Gloria,HITSTER - DIY,Playlist,ITR007900051,35tzxthMBglBMjmZ7Fn1hj,35tzxthMBglBMjmZ7Fn1hj,spotify:track:35tzxthMBglBMjmZ7Fn1hj,Gloria,,1979,pending,
37,"(I've Had) The Time of My Life - From ""Dirty Dancing"" Soundtrack",Bill Medley,Platinum & Gold Collection,HITSTER - DIY,Playlist,USRC10300895,4BFMQ15vXr626UOoZL8bUI,4BFMQ15vXr626UOoZL8bUI,spotify:track:4BFMQ15vXr626UOoZL8bUI,Platinum & Gold Collection,,1987,review,Posible remaster/compilación/edición especial; revisar año original para curated_year.
38,Celebration,Kool & The Gang,Celebrate!,HITSTER - DIY,Playlist,USPR38007190,3K7Q9PHUWPTaknlbFPThn2,3K7Q9PHUWPTaknlbFPThn2,spotify:track:3K7Q9PHUWPTaknlbFPThn2,Celebrate!,,1980,pending,
39,Shout,Tears For Fears,Songs From The Big Chair,HITSTER - DIY,Playlist,GBF088490125,2gQaQUhDCNGfBVXTvxAmXQ,2gQaQUhDCNGfBVXTvxAmXQ,spotify:track:2gQaQUhDCNGfBVXTvxAmXQ,Songs From The Big Chair,,1984,pending,
40,bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",HITSTER - DIY,Playlist,USUM71900764,2Fxmhks0bxGSBdJ92vM42m,2Fxmhks0bxGSBdJ92vM42m,spotify:track:2Fxmhks0bxGSBdJ92vM42m,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",,2019,pending,
41,Everybody Hurts,R.E.M.,Automatic For The People,HITSTER - DIY,Playlist,USWB19901548,6PypGyiu0Y2lCDBN1XZEnP,6PypGyiu0Y2lCDBN1XZEnP,spotify:track:6PypGyiu0Y2lCDBN1XZEnP,Automatic For The People,,1992,pending,
42,Resistiré,Duo Dinamico,En Forma,HITSTER - DIY,Playlist,ES5110002956,2oI6d7XcMz1AMTQhDopV5J,2oI6d7XcMz1AMTQhDopV5J,spotify:track:2oI6d7XcMz1AMTQhDopV5J,En Forma,,1988,pending,
43,Dime Que Me Quieres,Tequila,Viva Tequila/New Booklet,HITSTER - DIY,Playlist,ES5109900077,2IofpcCv3PjgZ5AjX446fi,2IofpcCv3PjgZ5AjX446fi,spotify:track:2IofpcCv3PjgZ5AjX446fi,Viva Tequila/New Booklet,,1979,pending,
44,Pajaros de Barro,Manolo Garcia,Arena En Los Bolsillos,HITSTER - DIY,Playlist,ES5029800161,4B6ko7lt1sUtyFzBDF4yfK,4B6ko7lt1sUtyFzBDF4yfK,spotify:track:4B6ko7lt1sUtyFzBDF4yfK,Arena En Los Bolsillos,,1998,pending,
45,When a Man Loves a Woman - Mono,Percy Sledge,When a Man Loves a Woman (Mono),HITSTER - DIY,Playlist,USAT21403476,2mTiKaGdMPA4wfOGGUroE5,2mTiKaGdMPA4wfOGGUroE5,spotify:track:2mTiKaGdMPA4wfOGGUroE5,When a Man Loves a Woman (Mono),,1966,review,Posible remaster/compilación/edición especial; revisar año original para curated_year.
46,"Marta, Sebas, Guille y los demás",Amaral,Pájaros En La Cabeza,HITSTER - DIY,Playlist,ES5080500025,30ddpolNHwXlrS5XO8MiiO,30ddpolNHwXlrS5XO8MiiO,spotify:track:30ddpolNHwXlrS5XO8MiiO,Pájaros En La Cabeza,,2005,pending,
47,Libre,Nino Bravo,Super 20,HITSTER - DIY,Playlist,ES6009500067,1uAjXdRxH2PBCKGSWPagGJ,1uAjXdRxH2PBCKGSWPagGJ,spotify:track:1uAjXdRxH2PBCKGSWPagGJ,Super 20,,1972,pending,
48,Bitter Sweet Symphony - Remastered 2016,The Verve,Urban Hymns (Remastered 2016),HITSTER - DIY,Playlist,GBUM71601816,57iDDD9N9tTWe75x6qhStw,57iDDD9N9tTWe75x6qhStw,spotify:track:57iDDD9N9tTWe75x6qhStw,Urban Hymns (Remastered 2016),,1997,review,Posible remaster/compilación/edición especial; revisar año original para curated_year.
49,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,Whitney,HITSTER - DIY,Playlist,USAR18700121,2tUBqZG2AbRi7Q0BIrVrEj,2tUBqZG2AbRi7Q0BIrVrEj,spotify:track:2tUBqZG2AbRi7Q0BIrVrEj,Whitney,,1987,pending,
50,Zapatillas,El Canto Del Loco,Zapatillas,HITSTER - DIY,Playlist,ES5020500100,42VgiRyg0YjtRVLiPFNxPJ,42VgiRyg0YjtRVLiPFNxPJ,spotify:track:42VgiRyg0YjtRVLiPFNxPJ,Zapatillas,,2005,pending,
51,Guajira Guantanamera,Joseito Fernández,Guajira Guantanamera,HITSTER - DIY,Playlist,FR6V81371636,0KMGf0ebdR8aazf1PoHEdb,0KMGf0ebdR8aazf1PoHEdb,spotify:track:0KMGf0ebdR8aazf1PoHEdb,Guajira Guantanamera,,1928,pending,
52,Mi Gente,J Balvin,Vibras,HITSTER - DIY,Playlist,FR22F1701790,7COfe3P7KgfwDwIRB8LIDw,7COfe3P7KgfwDwIRB8LIDw,spotify:track:7COfe3P7KgfwDwIRB8LIDw,Vibras,,2017,pending,
53,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),Shakira,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),HITSTER - DIY,Playlist,USSM11001353,2Cd9iWfcOpGDHLz6tVA3G4,2Cd9iWfcOpGDHLz6tVA3G4,spotify:track:2Cd9iWfcOpGDHLz6tVA3G4,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),,2010,pending,
54,It's a Heartache,Bonnie Tyler,It's a Heartache,HITSTER - DIY,Playlist,GBAJE7700003,2pag2vElkdroT8hIO4Gozi,2pag2vElkdroT8hIO4Gozi,spotify:track:2pag2vElkdroT8hIO4Gozi,It's a Heartache,,1977,pending,
55,La Felicidad,Palito Ortega,Colecccion de Oro,HITSTER - DIY,Playlist,MXF330911265,2Hdf9j4LFuisyOpf9ZjNbC,2Hdf9j4LFuisyOpf9ZjNbC,spotify:track:2Hdf9j4LFuisyOpf9ZjNbC,Colecccion de Oro,,1967,pending,
56,Malo,Bebe,Pafuera Telarañas,HITSTER - DIY,Playlist,ES5030400005,3JFFnk9XQ9PKNd6ueBc2RK,3JFFnk9XQ9PKNd6ueBc2RK,spotify:track:3JFFnk9XQ9PKNd6ueBc2RK,Pafuera Telarañas,,2004,pending,
57,Cotton Eye Joe,Rednex,Sex & Violins,HITSTER - DIY,Playlist,DEA319600881,06hsdMbBxWGqBO0TV0Zrkf,06hsdMbBxWGqBO0TV0Zrkf,spotify:track:06hsdMbBxWGqBO0TV0Zrkf,Sex & Violins,,1994,pending,
58,Wrecking Ball,Miley Cyrus,Bangerz (Deluxe Version),HITSTER - DIY,Playlist,USRC11301214,2vwlzO0Qp8kfEtzTsCXfyE,2vwlzO0Qp8kfEtzTsCXfyE,spotify:track:2vwlzO0Qp8kfEtzTsCXfyE,Bangerz (Deluxe Version),,2013,review,Posible remaster/compilación/edición especial; revisar año original para curated_year.
59,Barbie Girl,Aqua,Aquarium (Special Edition),HITSTER - DIY,Playlist,DKBKA9700403,5ZrDlcxIDZyjOzHdYW1ydr,5ZrDlcxIDZyjOzHdYW1ydr,spotify:track:5ZrDlcxIDZyjOzHdYW1ydr,Aquarium (Special Edition),,1997,review,Posible remaster/compilación/edición especial; revisar año original para curated_year.
60,All About That Bass,Meghan Trainor,Title (Deluxe),HITSTER - DIY,Playlist,USSM11401317,5jE48hhRu8E6zBDPRSkEq7,5jE48hhRu8E6zBDPRSkEq7,spotify:track:5jE48hhRu8E6zBDPRSkEq7,Title (Deluxe),,2014,review,Posible remaster/compilación/edición especial; revisar año original para curated_year.
61,Un Rayo de Sol,Los Diablos,70s los Anos Jovenes - la Coleccion,HITSTER - DIY,Playlist,ES5379900620,6mUQ6NW9WRcCuSsi4kzdlf,6mUQ6NW9WRcCuSsi4kzdlf,spotify:track:6mUQ6NW9WRcCuSsi4kzdlf,70s los Anos Jovenes - la Coleccion,,1970,pending,
62,I Got You Babe,Sonny & Cher,Look At Us,HITSTER - DIY,Playlist,USAT27500019,4SGBuq37Ol4HJr7pQqFMKa,4SGBuq37Ol4HJr7pQqFMKa,spotify:track:4SGBuq37Ol4HJr7pQqFMKa,Look At Us,,1965,pending,
63,Vivir Así Es Morir de Amor,Camilo Sesto,Sentimientos,HITSTER - DIY,Playlist,ES5027800014,3yzHIAzk3zVE1WgspS8W21,3yzHIAzk3zVE1WgspS8W21,spotify:track:3yzHIAzk3zVE1WgspS8W21,Sentimientos,,1978,pending,
64,"Yes Sir, I Can Boogie",Baccara,The Collection & Tracklisting,HITSTER - DIY,Playlist,DEC760000065,2LScqpywMqGcnum6nNaxXX,2LScqpywMqGcnum6nNaxXX,spotify:track:2LScqpywMqGcnum6nNaxXX,The Collection & Tracklisting,,1977,review,Posible remaster/compilación/edición especial; revisar año original para curated_year.
65,Bailando - Spanish Version,Enrique Iglesias,SEX AND LOVE,HITSTER - DIY,Playlist,GBUM71400955,0bEA0mMgXheXnahvIbIQfg,0bEA0mMgXheXnahvIbIQfg,spotify:track:0bEA0mMgXheXnahvIbIQfg,SEX AND LOVE,,2014,pending,
66,Fireflies,Owl City,Ocean Eyes,HITSTER - DIY,Playlist,USUM70972068,3DamFFqW32WihKkTVlwTYQ,3DamFFqW32WihKkTVlwTYQ,spotify:track:3DamFFqW32WihKkTVlwTYQ,Ocean Eyes,,2009,pending,
67,Genie In a Bottle,Christina Aguilera,Christina Aguilera (Expanded Edition),HITSTER - DIY,Playlist,USRC19900032,11mwFrKvLXCbcVGNxffGyP,11mwFrKvLXCbcVGNxffGyP,spotify:track:11mwFrKvLXCbcVGNxffGyP,Christina Aguilera (Expanded Edition),,1999,review,Posible remaster/compilación/edición especial; revisar año original para curated_year.
68,The Best,Tina Turner,Foreign Affair,HITSTER - DIY,Playlist,USCA28900109,6pPWRBubXOBAHnjl5ZIujB,6pPWRBubXOBAHnjl5ZIujB,spotify:track:6pPWRBubXOBAHnjl5ZIujB,Foreign Affair,,1989,pending,
